Word,Freq,Rank
மற்றும்,2030,1
ஆம்,1548,2
வேண்டும்,1018,3
அல்லது,994,4
அவர்,817,5
திகதி,750,6
உத்தியோகத்தர்,720,7
கீழ்,638,8
செயலாளர்,621,9
தொடர்பாக,511,10
மேற்படி,475,11
இலக்கம்,467,12
மூலம்,455,13
பெற்றுக்,454,14
ஒரு,418,15
கெளரவ,392,16
கல்வி,386,17
பிரதேச,361,18
அரச,335,19
தேசிய,332,20
அபிவிருத்தி,330,21
உரிய,328,22
இலக்க,327,23
பணிப்பாளர்,327,24
இந்த,324,25
இலங்கை,301,26
அரசாங்க,290,27
யாது,286,28
நிதி,281,29
யாவை,270,30
போது,262,31
நடவடிக்கை,262,32
சேவை,260,33
பிரிவின்,252,34
திகதிய,251,35
எண்ணிக்கை,247,36
குறித்த,246,37
அமைச்சின்,237,38
கேட்பதற்கு,236,39
விசேட,235,40
முடியும்,235,41
சட்டத்தின்,234,42
ஒருவர்,232,43
எம்,229,44
அறிவிப்பாரா,223,45
தேவையான,222,46
மாதம்,222,47
எவ்வளவு,222,48
திரு,215,49
அமைச்சரைக்,213,50
தொடர்பான,211,51
கடன்,211,52
சம்பள,209,53
மாவட்ட,208,54
பற்றிய,207,55
என்பதை,206,56
ப,202,57
உங்கள்,201,58
முதல்,200,59
மாகாண,199,60
ஏனைய,197,61
அந்த,192,62
சபை,188,63
ஆந்,188,64
வரை,187,65
அமைச்சு,186,66
செய்யப்பட்ட,182,67
ரூபா,182,68
வேண்டிய,181,69
சகல,181,70
அத்தகைய,180,71
தயவுடன்,180,72
பாடசாலை,179,73
விடயம்,177,74
எனது,177,75
ஆண்டின்,175,76
என்பதையும்,173,77
கொண்ட,172,78
இத்துடன்,170,79
குறிப்பிடுவாரா,168,80
செய்தல்,166,81
பி,166,82
இச்சபைக்கு,166,83
அதன்,164,84
முன்னர்,163,85
பொது,161,86
சட்டமூலம்,161,87
புதிய,160,88
சமூக,157,89
எஸ்,156,90
உள்ள,156,91
பிரிவு,156,92
செய்து,156,93
உதவி,156,94
அனைத்து,153,95
கடிதம்,153,96
ஆண்டு,151,97
திணைக்களத்,150,98
மேலதிக,149,99
தனது,149,100
அது,144,101
கிராம,144,102
அறிக்கை,143,103
பதவி,143,104
ஏ,141,105
தயவாய்,139,106
அ,137,107
ஒருவருக்கு,137,108
பயிற்சி,135,109
பெயர்,134,110
நடவடிக்கைகள்,132,111
நிகழ்ச்சி,130,112
பின்னர்,130,113
மேலும்,129,114
சேவைகள்,129,115
மத்திய,126,116
பீ,126,117
பிரதி,126,118
கூடிய,125,119
கொடுப்பனவு,125,120
திணைக்களம்,124,121
அவ்வாறு,123,122
படி,121,123
முன்,121,124
சம்பளம்,121,125
லீவு,121,126
வேறு,120,127
கொண்டு,119,128
வருடாந்த,119,129
மேற்குறித்த,119,130
தலைவர்,118,131
கே,118,132
இல,117,133
அதிகாரி,117,134
கட்டளை,117,135
ஒவ்வொரு,117,136
ஊடாக,116,137
காரணமாக,116,138
அவருக்கு,115,139
கொள்ளல்,114,140
கொள்ள,111,141
மதிப்பீடு,111,142
மாத்தளை,111,143
தகவல்,110,144
தற்போது,110,145
கல்விப்,109,146
காலம்,108,147
பொ,108,148
அவரது,108,149
தொகை,108,150
பற்றி,107,151
என்ற,107,152
திருமதி,106,153
வெளிநாட்டு,106,154
மொழி,105,155
இரண்டாம்,105,156
பாதுகாப்பு,105,157
விடுமுறை,104,158
அமைச்சர்,103,159
இது,103,160
அடிப்படையில்,103,161
மீண்டும்,103,162
வழங்க,103,163
தொகை,103,164
KDS,103,165
அதற்கமைய,102,166
அங்கீகரிக்கப்படுமாக,102,167
இரண்டு,101,168
“,101,169
ஆர்,101,170
பெற்ற,99,171
அரசியலமைப்பின்,99,172
சமர்ப்பிக்கப்பட்டதுமான,99,173
மொழிகள்,98,174
சார்பாக,98,175
குறிப்பிடப்பட்டுள்ள,98,176
அதிவிசேட,98,177
அமைய,96,178
சனநாயக,96,179
ஆண்டில்,95,180
நிறுவனம்,95,181
நாயகம்,95,182
ஏற்ப,94,183
ஆணையாளர்,94,184
ஆகிய,93,185
தெரிவு,93,186
என,93,187
தொழில்,93,188
ஒவ்வொரு,93,189
பின்வரும்,93,190
சோசலிசக்,93,191
தமிழ்,92,192
வழங்குதல்,92,193
இலங்கைச்,92,194
எச்,91,195
விளையாட்டு,90,196
காரியாலயம்,90,197
சேவையில்,89,198
திணைக்களத்தின்,88,199
த,88,200
திகதிக்கு,88,201
செய்யும்,87,202
PBK,87,203
முகாமைத்துவ,86,204
வகையில்,86,205
செலவு,86,206
அலுவல்கள்,85,207
”,85,208
வேண்டியது,85,209
பிரதான,84,210
இதன்,84,211
பதிவு,84,212
எனக்கு,84,213
ரூ,83,214
அதற்கு,83,215
ஓய்வு,83,216
சுகாதார,82,217
அரசாங்கம்,82,218
உத்தியோகத்தரின்,82,219
புகையிரத,82,220
கொ,82,221
சிறுவர்,81,222
வைத்திய,81,223
நீங்கள்,81,224
ஊழியர்,80,225
ஆக்கப்பட்டு,80,226
சிறந்த,79,227
இலங்கையில்,79,228
இணைப்பு,79,229
சான்றிதழ்,79,230
திட்டமிடல்,79,231
காலப்,79,232
நிலையம்,78,233
வழங்கப்பட்ட,78,234
செய்ய,78,235
',78,236
அனுமதி,78,237
அவர்கள்,77,238
டி,77,239
நிருவாக,77,240
பணிகள்,76,241
ஆகும்,76,242
ஏற்பாடுகள்,76,243
அறிவிக்கிறேன்,76,244
உத்தியோகத்தர்கள்,75,245
ஓர்,75,246
பெற்று,75,247
கொள்வனவு,74,248
மாநகர,74,249
மக்கள்,73,250
விடயங்கள்,73,251
அதிகார,73,252
